Numÿro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriÿtaire
615829;6.114722222222222;48.76611111111111;"48ÿ45'58.000""N 6ÿ6'53.000""E";54430;RÿSERVOIR AVANT-GARDE;"";54340;POMPEY;Pylÿne autostable;36.0;TDF
618706;6.178888888888888;48.70166666666667;"48ÿ42'6.000""N 6ÿ10'44.000""E";54395;"";31 R GRANDVILLE;54000;NANCY;Immeuble;30.0;"Copropriÿtÿ, Syndic, SCI"
636938;6.1375;48.76166666666667;"48ÿ45'42.000""N 6ÿ8'15.000""E";54215;AU FAIT;"R DE L'EMBANIE";54390;FROUARD;Pylÿne autostable;30.0;SNCF Rÿseau
641216;6.210833333333333;48.7075;"48ÿ42'27.000""N 6ÿ12'39.000""E";54482;"";1 R DU MAQUIS DE RANZEY;54130;SAINT MAX;Immeuble;30.0;Sociÿtÿ Privÿe SA
644890;6.164722222222222;48.68083333333333;"48ÿ40'51.000""N 6ÿ9'53.000""E";54395;"";19 R EMILE BERTIN;54000;NANCY;Bÿtiment;39.0;ORANGE Services Fixes
644899;6.1722222222222225;48.70361111111111;"48ÿ42'13.000""N 6ÿ10'20.000""E";54395;"";97/99 FAUBOURG DES TROIS MAISONS;54000;NANCY;Immeuble;27.0;Sociÿtÿ HLM
644909;6.151666666666666;48.69611111111111;"48ÿ41'46.000""N 6ÿ9'6.000""E";54395;"";"16,R BUTHÿGNEMONT RÿSIDENCE LA SAPINIÿRE";54000;NANCY;Immeuble;33.0;"Copropriÿtÿ, Syndic, SCI"
644926;6.167222222222223;48.69916666666667;"48ÿ41'57.000""N 6ÿ10'2.000""E";54395;"";"15, R JACQUINOT RÿSIDENCE HORIZON 2000";54000;NANCY;Immeuble;33.7;"Copropriÿtÿ, Syndic, SCI"
644928;6.1738888888888885;48.67666666666667;"48ÿ40'36.000""N 6ÿ10'26.000""E";54395;"";27 R DU COLONEL GRANVAL ROND POINT ERNEST BUSSIÿRE;54000;NANCY;Immeuble;30.0;"Copropriÿtÿ, Syndic, SCI"
644930;6.191111111111111;48.67888888888889;"48ÿ40'44.000""N 6ÿ11'28.000""E";54395;FAUBOURG ST PIERRE;11 ÿ 15 B  QUAI RENÿ II;54000;NANCY;Immeuble;35.8;Sociÿtÿ HLM
646257;6.1738888888888885;48.68666666666667;"48ÿ41'12.000""N 6ÿ10'26.000""E";54395;"";14 BD J.F. KENNEDY;54000;NANCY;Immeuble;45.0;SNCF Rÿseau
646261;6.146388888888889;48.69166666666667;"48ÿ41'30.000""N 6ÿ8'47.000""E";54395;"";11-13 R MARIE-ODILE;54000;NANCY;Immeuble;16.0;Particulier
646301;6.1786111111111115;48.67805555555555;"48ÿ40'41.000""N 6ÿ10'43.000""E";54395;"";140 AV DU GL LECLERC;54000;NANCY;Immeuble;30.0;Sociÿtÿ Privÿe SA
646853;6.1802777777777775;48.68972222222222;"48ÿ41'23.000""N 6ÿ10'49.000""E";54395;"";43 R ST JEAN;54000;NANCY;Immeuble;37.0;"Copropriÿtÿ, Syndic, SCI"
646867;6.179722222222222;48.69611111111111;"48ÿ41'46.000""N 6ÿ10'47.000""E";54395;"";PL JOSEPH MARVAL;54000;NANCY;Monument religieux;84.0;"Commune, communautÿ de commune"
646869;6.183888888888889;48.70388888888889;"48ÿ42'14.000""N 6ÿ11'2.000""E";54395;"";50 R DE MALZEVILLE;54000;NANCY;Immeuble;24.0;"Copropriÿtÿ, Syndic, SCI"
646873;6.201944444444444;48.69027777777778;"48ÿ41'25.000""N 6ÿ12'7.000""E";54395;"";"110 BD  D'AUSTRASIE CENTRE DE FORMATION CCI";54000;NANCY;Immeuble;23.0;"CCI,Ch Metiers,Port Aut,Aÿrop"
648126;6.175277777777778;48.69166666666667;"48ÿ41'30.000""N 6ÿ10'31.000""E";54395;"";12 R DE SERRE;54000;NANCY;Immeuble;32.0;Sociÿtÿ HLM
648128;6.191666666666666;48.683055555555555;"48ÿ40'59.000""N 6ÿ11'30.000""E";54395;"";57 AV. MAL DE LATTRE DE TASSIGNY EGLISE ST PIERRE;54000;NANCY;Monument religieux;50.0;"Commune, communautÿ de commune"
648130;6.176666666666667;48.69555555555556;"48ÿ41'44.000""N 6ÿ10'36.000""E";54395;"";35 R ST MICHEL;54000;NANCY;Immeuble;20.0;Particulier
651507;6.174722222222222;48.673611111111114;"48ÿ40'25.000""N 6ÿ10'29.000""E";54395;"";149 AV DU GÿNÿRAL LECLERC PAROISSE NOTRE DAME DE LOURDES;54000;NANCY;Monument religieux;77.0;Association
651518;6.175833333333333;48.67444444444445;"48ÿ40'28.000""N 6ÿ10'33.000""E";54395;"";"131 AV GAL LECLERC RÿSIDENCE CORDELIERS, BÿTIMENT HORUS";54000;NANCY;Immeuble;37.0;"Copropriÿtÿ, Syndic, SCI"
653408;6.181111111111111;48.69305555555555;"48ÿ41'35.000""N 6ÿ10'52.000""E";54395;"";34 R STANISLAS;54000;NANCY;Bÿtiment;26.0;"Copropriÿtÿ, Syndic, SCI"
669725;6.181111111111111;48.6525;"48ÿ39'9.000""N 6ÿ10'52.000""E";54547;PENOY;"BD DE L'EUROPE";54500;VANDOEUVRE LES NANCY;Pylÿne tubulaire;20.0;HIVORY
674161;6.2625;48.720555555555556;"48ÿ43'14.000""N 6ÿ15'45.000""E";54498;LA LOUVIERE;CHEM LOUVIERE;54280;SEICHAMPS;Pylÿne autostable;13.0;HIVORY
681135;6.174722222222222;48.610277777777775;"48ÿ36'37.000""N 6ÿ10'29.000""E";54328;LE MAUVAIS LIEU;PRÿS D.570;54710;LUDRES;Pylÿne tubulaire;27.0;HIVORY
714345;6.182777777777778;48.66972222222222;"48ÿ40'11.000""N 6ÿ10'58.000""E";54547;"";"R DU 8 ÿME RÿGIMENT D'ARTILLERIE QUARTIER DROUOT BAT 3";54500;VANDOEUVRE LES NANCY;Immeuble;29.0;Autres
723322;6.117222222222222;48.66111111111111;"48ÿ39'40.000""N 6ÿ7'2.000""E";54578;RUCHE DE CLAIRLIEU;R DE LA SANCE STATION TDF;54600;VILLERS LES NANCY;Pylÿne autostable;53.0;TDF
736643;6.1177777777777775;48.619166666666665;"48ÿ37'9.000""N 6ÿ7'4.000""E";54397;"";BOIS DE CHANOIS;54230;NEUVES MAISONS;Pylÿne autostable;42.0;TDF
752166;6.166666666666667;48.76138888888889;"48ÿ45'41.000""N 6ÿ10'0.000""E";54090;LES PETITES NARVANNES;"";54136;BOUXIERES AUX DAMES;Pylÿne autostable;37.0;ATC FRANCE
755089;6.162222222222222;48.71138888888889;"48ÿ42'41.000""N 6ÿ9'44.000""E";54357;"";AV DU GÿNÿRAL PATTON EGLISE DE MAXEVILLE;54320;MAXEVILLE;Monument religieux;35.0;"Commune, communautÿ de commune"
802894;6.193611111111111;48.66916666666667;"48ÿ40'9.000""N 6ÿ11'37.000""E";54547;LA MALGRANGE;14 RTE DE MIRECOURT TDF;54500;VANDOEUVRE LES NANCY;Bÿtiment;36.0;TDF
802908;6.210833333333333;48.68611111111111;"48ÿ41'10.000""N 6ÿ12'39.000""E";54526;"";BD  HENRY BARBUSSE EGLISE ST PIERRE DES LIENS;54510;TOMBLAINE;Monument religieux;27.0;"Commune, communautÿ de commune"
802930;6.215277777777778;48.704166666666666;"48ÿ42'15.000""N 6ÿ12'55.000""E";54482;"";R DE LA NOUE LES FIGUIERS;54130;SAINT MAX;Immeuble;51.0;"Copropriÿtÿ, Syndic, SCI"
802932;6.163611111111111;48.66388888888889;"48ÿ39'50.000""N 6ÿ9'49.000""E";54547;"";47 R JEAN JAURES;54500;VANDOEUVRE LES NANCY;Bÿtiment;17.0;"Copropriÿtÿ, Syndic, SCI"
802938;6.0841666666666665;48.62694444444445;"48ÿ37'37.000""N 6ÿ5'3.000""E";54111;BROCHE AU VIN;CHEM COMMUNAL;54230;CHALIGNY;Pylÿne autostable;26.0;ATC FRANCE
802944;6.1883333333333335;48.65972222222222;"48ÿ39'35.000""N 6ÿ11'18.000""E";54547;"";2 R JEAN LAMOUR ESSTIN;54500;VANDOEUVRE LES NANCY;Immeuble;24.0;"Commune, communautÿ de commune"
802954;6.096111111111111;48.755;"48ÿ45'18.000""N 6ÿ5'46.000""E";54318;"";RTE DE FROUARD RD 90 INTERMARCHÿ;54460;LIVERDUN;Pylÿne tubulaire;25.0;TOTEM
802956;6.129444444444444;48.69222222222222;"48ÿ41'32.000""N 6ÿ7'46.000""E";54304;"";"R DU STOIS ZAC DE L'OBSERVATOIRE";54520;LAXOU;Pylÿne tubulaire;16.5;TOTEM
802960;6.146388888888889;48.745;"48ÿ44'42.000""N 6ÿ8'47.000""E";54215;MONTANT DE NERBEVEAUX;2 R DU BOIS ZAC DU SAULE GAILLARD;54390;FROUARD;Pylÿne tubulaire;25.0;TOTEM
802962;6.161388888888889;48.62277777777778;"48ÿ37'22.000""N 6ÿ9'41.000""E";54328;"";"R DE L'EGLISE";54710;LUDRES;Monument religieux;28.0;"Commune, communautÿ de commune"
