Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1529612;5.398055555555556;43.33166666666666;"43°19'54.000""N 5°23'53.000""E";13214;"";6 RUE DE LA BUSSERINE LA BUSSERINE TOUR Q;13014;MARSEILLE 14E ARRONDISSEMENT;Immeuble;58.0;Société HLM
1532369;4.9816666666666665;43.405833333333334;"43°24'21.000""N 4°58'54.000""E";13077;"";4 RUE DE LA REPUBLIQUE;13110;PORT DE BOUC;Immeuble;50.4;Société HLM
1536671;5.23;43.437777777777775;"43°26'16.000""N 5°13'48.000""E";13117;AÉROPORT INTERNATIONAL;"AÉROPORT MARSEILLE-PROVENCE USINE EUROCOPTER-CHÂTEAU D'EAU";13127;VITROLLES;"Château d'eau - réservoir";33.0;AIRBUS
1567017;5.355;43.352777777777774;"43°21'10.000""N 5°21'18.000""E";13215;"";IMP DE LA GENESTELLE CHEM DE ST LOUIS AU ROVE SITE FERROVIAIRE;13015;MARSEILLE 15E ARRONDISSEMENT;"Ouvrage d'art (pont, viaduc)";16.2;SNCF Réseau
1571834;5.792222222222222;43.25194444444445;"43°15'7.000""N 5°47'32.000""E";83035;"";CIRCUIT PAUL RICARD;83330;CASTELLET;Bâtiment;15.5;Société Privée
1571970;5.439444444444445;43.31916666666667;"43°19'9.000""N 5°26'22.000""E";13212;RÉSIDENCE MONTOLIVET;251 D R CHARLES KADDOUZ;13012;MARSEILLE 12E ARRONDISSEMENT;Immeuble;35.5;Société Privée
1583746;5.163888888888889;43.382222222222225;"43°22'56.000""N 5°9'50.000""E";13026;EGLISE;9 BOULEVARD GERMAIN CLAIRIN;13220;CHATEAUNEUF LES MARTIGUES;Monument religieux;29.0;"Commune, communauté de commune"
1589123;5.108333333333333;43.39833333333333;"43°23'54.000""N 5°6'30.000""E";13026;"";ALLÉE DU TAVERNIER 36 AV MIRABEAU;13220;CHATEAUNEUF LES MARTIGUES;Pylône tubulaire;18.0;TOTEM
1601321;5.393611111111111;43.27361111111111;"43°16'25.000""N 5°23'37.000""E";13208;"";24 BD  RABATAU;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;28.0;"Copropriété, Syndic, SCI"
1605880;5.450833333333334;43.34;"43°20'24.000""N 5°27'3.000""E";13075;"";18 PROMENADE DU CAVAOU SCI LA SOURCE;13380;PLAN DE CUQUES;Pylône tubulaire;13.0;TOTEM
1623833;5.051944444444445;43.333333333333336;"43°20'0.000""N 5°3'7.000""E";13056;"";"44 CHEMIN DU SEMAPHORE, LA COURONNE";13117;MARTIGUES;Bâtiment;7.8;"Etat, Ministère"
1655058;5.604444444444445;43.173611111111114;"43°10'25.000""N 5°36'16.000""E";13028;"";ROND-POINT DES MESSAGERIES MARITIMES HOTEL DE VILLE;13600;CIOTAT;Bâtiment;24.7;"Commune, communauté de commune"
1689137;5.355;43.352777777777774;"43°21'10.000""N 5°21'18.000""E";13215;"";IMP DE LA GENESTELLE CHEM DE ST LOUIS AU ROVE SITE FERROVIAIRE;13015;MARSEILLE 15E ARRONDISSEMENT;Mât;4.0;ORANGE
1693036;5.301111111111111;43.41305555555556;"43°24'47.000""N 5°18'4.000""E";13071;LA SOURCE;ROUTE NATIONALE 113 GARAGE JPP AUTO;13170;PENNES MIRABEAU;Pylône autostable;12.0;TOTEM
1693075;5.383333333333334;43.3125;"43°18'45.000""N 5°23'0.000""E";13203;"";114-116 AV LOUBON;13003;MARSEILLE 3E ARRONDISSEMENT;Immeuble;45.0;"Copropriété, Syndic, SCI"
1693118;5.348888888888889;43.415277777777774;"43°24'55.000""N 5°20'56.000""E";13071;"";LA CLAUDIA ZONE COMMERCIALE DE PLAN DE CAMPAGNE;13170;PENNES MIRABEAU;Pylône autostable;17.0;TOTEM
1710277;5.3825;43.34361111111111;"43°20'37.000""N 5°22'57.000""E";13214;"";25 BD  MASSENET ENSEMBLE INDUSTRIEL MARSEILLE NORD;13014;MARSEILLE 14E ARRONDISSEMENT;Bâtiment;22.2;"Copropriété, Syndic, SCI"
1720666;5.586111111111111;43.29666666666667;"43°17'48.000""N 5°35'10.000""E";13005;"";CENTRAL TÉLÉPHONIQUE CHEMIN DU CAMP DE SARLIER CENTRE LAMAGNON;13400;AUBAGNE;Bâtiment;24.0;ORANGE Services Fixes
1746114;5.339722222222222;43.397222222222226;"43°23'50.000""N 5°20'23.000""E";13071;"";ROUTE DE LA GAVOTTE;13170;PENNES MIRABEAU;Pylône tubulaire;18.7;Conseil Régional
1790843;5.448888888888889;43.3125;"43°18'45.000""N 5°26'56.000""E";13212;"";21 AV FERNANDEL;13012;MARSEILLE 12E ARRONDISSEMENT;Bâtiment;15.0;Particulier
1794464;5.439722222222223;43.28805555555556;"43°17'17.000""N 5°26'23.000""E";13211;"";10 AV EMMANUEL ALLARD;13011;MARSEILLE 11E ARRONDISSEMENT;Bâtiment;27.5;Société Privée
1814043;5.386388888888889;43.33138888888889;"43°19'53.000""N 5°23'11.000""E";13214;"";RUE JEAN QUEILLEU TERRAIN RFF;13014;MARSEILLE 14E ARRONDISSEMENT;Mât;12.0;ORANGE
1826913;5.053055555555556;43.41833333333334;"43°25'6.000""N 5°3'11.000""E";13056;"";1 AV CANTO PERDRIX RES LA CALANQUE;13117;MARTIGUES;Immeuble;47.7;"Copropriété, Syndic, SCI"
1827332;5.397222222222222;43.27583333333333;"43°16'33.000""N 5°23'50.000""E";13208;"";72-82 BLV RABATAU;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;30.8;"Copropriété, Syndic, SCI"
1849222;5.465833333333333;43.36083333333333;"43°21'39.000""N 5°27'57.000""E";13075;"";LA MONTADE AVENUE DE MIMET;13380;PLAN DE CUQUES;Immeuble;14.8;"Copropriété, Syndic, SCI"
1866206;5.395277777777777;43.433055555555555;"43°25'59.000""N 5°23'43.000""E";13015;COLLET ROUGE;PRÈS A.51 SENS MARSEILLE/AIX-EN-PROVENCE AIRE DE SERVICE DES CHABAUDS;13320;BOUC BEL AIR;Pylône autostable;25.0;"Sociétés d'Autoroutes"
1898188;5.425833333333333;43.33638888888889;"43°20'11.000""N 5°25'33.000""E";13213;"";RUE DES PIVOINES RESIDENCE LA SAUVAGINE;13013;MARSEILLE 13E ARRONDISSEMENT;Bâtiment;29.5;Conseil Régional
1934803;5.383055555555556;43.315;"43°18'54.000""N 5°22'59.000""E";13203;"";27 BD DE LA REVOLUTION;13003;MARSEILLE 3E ARRONDISSEMENT;Bâtiment;50.0;"Copropriété, Syndic, SCI"
1942654;5.358333333333333;43.29416666666667;"43°17'39.000""N 5°21'30.000""E";13207;"";"58, BD CHARLES LIVON PALAIS DU PHARO";13007;MARSEILLE 7E ARRONDISSEMENT;Bâtiment;25.0;"Commune, communauté de commune"
1974230;5.4063888888888885;43.325;"43°19'30.000""N 5°24'23.000""E";13213;"";130 AVENUE COROT PARC COROT BÂT C;13013;MARSEILLE 13E ARRONDISSEMENT;Immeuble;57.0;"Copropriété, Syndic, SCI"
