Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
173043;DECT (Téléphone domestique);1880-1900;"";""
173044;DECT (Téléphone domestique);1880-1900;"";""
173053;DECT (Téléphone domestique);1880-1900;"";""
173064;DECT (Téléphone domestique);1880-1900;"";""
173065;DECT (Téléphone domestique);1880-1900;"";""
173067;DECT (Téléphone domestique);1880-1900;"";""
173074;DECT (Téléphone domestique);1880-1900;"";""
173075;DECT (Téléphone domestique);1880-1900;"";""
173076;DECT (Téléphone domestique);1880-1900;"";""
173077;DECT (Téléphone domestique);1880-1900;"";""
173086;DECT (Téléphone domestique);1880-1900;"";""
173090;DECT (Téléphone domestique);1880-1900;"";""
173092;DECT (Téléphone domestique);1880-1900;"";""
173094;DECT (Téléphone domestique);1880-1900;"";""
173095;DECT (Téléphone domestique);1880-1900;"";""
173096;DECT (Téléphone domestique);1880-1900;"";""
173097;DECT (Téléphone domestique);1880-1900;"";""
173098;DECT (Téléphone domestique);1880-1900;"";""
173100;DECT (Téléphone domestique);1880-1900;"";""
173103;DECT (Téléphone domestique);1880-1900;"";""
173104;DECT (Téléphone domestique);1880-1900;"";""
173111;DECT (Téléphone domestique);1880-1900;"";""
173119;DECT (Téléphone domestique);1880-1900;"";""
173134;DECT (Téléphone domestique);1880-1900;"";""
173138;DECT (Téléphone domestique);1880-1900;"";""
173144;DECT (Téléphone domestique);1880-1900;"";""
173147;DECT (Téléphone domestique);1880-1900;"";""
173148;DECT (Téléphone domestique);1880-1900;"";""
173151;DECT (Téléphone domestique);1880-1900;"";""
173154;DECT (Téléphone domestique);1880-1900;"";""
173155;DECT (Téléphone domestique);1880-1900;0.05;""
173157;DECT (Téléphone domestique);1880-1900;"";""
173159;DECT (Téléphone domestique);1880-1900;"";""
173164;DECT (Téléphone domestique);1880-1900;"";""
173167;DECT (Téléphone domestique);1880-1900;"";""
173172;DECT (Téléphone domestique);1880-1900;"";""
173173;DECT (Téléphone domestique);1880-1900;"";""
173177;DECT (Téléphone domestique);1880-1900;"";""
173178;DECT (Téléphone domestique);1880-1900;"";""
173180;DECT (Téléphone domestique);1880-1900;"";""
173181;DECT (Téléphone domestique);1880-1900;"";""
173182;DECT (Téléphone domestique);1880-1900;"";""
173184;DECT (Téléphone domestique);1880-1900;"";""
173191;DECT (Téléphone domestique);1880-1900;"";""
173192;DECT (Téléphone domestique);1880-1900;"";""
173194;DECT (Téléphone domestique);1880-1900;"";""
173202;DECT (Téléphone domestique);1880-1900;"";""
173210;DECT (Téléphone domestique);1880-1900;"";""
173215;DECT (Téléphone domestique);1880-1900;"";""
173217;DECT (Téléphone domestique);1880-1900;"";""
173221;DECT (Téléphone domestique);1880-1900;"";""
173224;DECT (Téléphone domestique);1880-1900;"";""
