Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
750433;-1.6419444444444444;48.119166666666665;"48°7'9.000""N 1°38'31.000""W";35238;"";ALLÉE JEAN LERAY BÂTIMENT 22-23  COMPLEXE SCIENTIFIQUE DE RENNES-BE ADM : 263 AV DU GAL LECLERC;35000;RENNES;Bâtiment;39.0;"Etat, Ministère"
750437;-1.7066666666666666;48.13861111111111;"48°8'19.000""N 1°42'24.000""W";35238;LE BOCAGE;CHEM RURAL 8;35000;RENNES;Pylône autostable;33.0;TOTEM
750440;-1.6280555555555556;48.104166666666664;"48°6'15.000""N 1°37'41.000""W";35051;"";3 R DU BAS VILLAGE;35510;CESSON SEVIGNE;Pylône tubulaire;25.0;TOTEM
750460;-2.093611111111111;48.13777777777778;"48°8'16.000""N 2°5'37.000""W";35295;LE FÉAGE;"L' ECAUBUETTE STADE";35750;SAINT MAUGAN;Pylône autostable;44.0;Conseil Départemental
750464;-1.6302777777777777;48.4175;"48°25'3.000""N 1°37'49.000""W";35205;LES HAUTS CHAMPS;PIERRE CUBE;35560;NOYAL SOUS BAZOUGES;Pylône autostable;44.0;Conseil Départemental
750472;-1.5619444444444444;47.81777777777778;"47°49'4.000""N 1°33'43.000""W";35332;"";"CHEM LA GARE ZA DES AJONCS D'OR";35620;TEILLAY;Pylône autostable;55.0;Conseil Départemental
750474;-1.9494444444444445;47.75666666666667;"47°45'24.000""N 1°56'58.000""W";35285;LA BASSE LANDE;VOIE COMMUNALE SEVEROUÉ;35550;SAINT JUST;Pylône autostable;44.0;Conseil Départemental
750488;-1.2930555555555556;48.260555555555555;"48°15'38.000""N 1°17'35.000""W";35086;LA PICAIS - ANCIENNE CARRIÈRE;D. 24;35210;COMBOURTILLE;Pylône autostable;44.0;Conseil Départemental
750490;-1.7280555555555555;48.066944444444445;"48°4'1.000""N 1°43'41.000""W";35281;"";AV JOSEPH LEBRIX AÉROPORT RENNES ST JACQUES PARKING N° 2;35136;SAINT JACQUES DE LA LANDE;Pylône tubulaire;21.0;HIVORY
750522;-1.6780555555555554;48.10444444444445;"48°6'16.000""N 1°40'41.000""W";35238;"";1 R DU CAPITAINE MAIGNAN HOTEL MERCURE;35000;RENNES;Immeuble;41.5;Société Privée
750531;-1.6813888888888888;48.08638888888889;"48°5'11.000""N 1°40'53.000""W";35238;"";1 SQ DE CARÉLIE IMM LE GRAND LIEU;35000;RENNES;Immeuble;53.5;Société HLM
751561;-0.7613888888888888;48.17805555555555;"48°10'41.000""N 0°45'41.000""W";53005;LE BORDAGE;ANCIEN RÉSERVOIR PYLÔNE ORANGE;53240;ANDOUILLE;Pylône autostable;30.0;TOTEM
752130;-0.7919444444444445;47.98138888888889;"47°58'53.000""N 0°47'31.000""W";53168;"";"D.103 - RTE DE LOUVIGNÉ STADE MUNICIPAL ADM : RTE D'ASTILLÉ";53970;NUILLE SUR VICOIN;Pylône tubulaire;37.0;TOTEM
752575;-0.5652777777777778;48.08555555555556;"48°5'8.000""N 0°33'55.000""W";53059;LA HAUTE MARSOLLIÈRE;D.550;53150;CHAPELLE RAINSOUIN;"Château d'eau - réservoir";49.0;"Syndicat des eaux, Adduction"
752733;-0.12000000000000001;48.19444444444444;"48°11'40.000""N 0°7'12.000""W";72334;LA BRUNETIÈRE;RTE DE MONT ST-JEAN LA CROIX CHEM RURAL LES EVRARDIÈRES PRÈS RÉSERVOIRS;72140;SILLE LE GUILLAUME;"Château d'eau - réservoir";45.6;"Syndicat des eaux, Adduction"
752942;-0.060000000000000005;47.8125;"47°48'45.000""N 0°3'36.000""W";72195;LE TERTRE;CHEM COMMUNAL;72270;MEZERAY;Pylône autostable;40.0;TOTEM
753331;-2.2916666666666665;47.848333333333336;"47°50'54.000""N 2°17'30.000""W";56035;LA LANDE DE LA PIE HAUDAIS;RTE DE BÉZY;56140;CARO;Pylône autostable;35.0;TOTEM
753380;-3.2802777777777776;48.0975;"48°5'51.000""N 3°16'49.000""W";56163;"";"RÉSERVOIR DE KERMAREC,V.C. 1";56160;PLOERDUT;Pylône autostable;33.0;TOTEM
754300;-2.4652777777777777;47.916111111111114;"47°54'58.000""N 2°27'55.000""W";56079;LES GRUCHETTES;"";56800;GUILLAC;Pylône autostable;34.0;Conseil Départemental
754385;-2.4375;47.8125;"47°48'45.000""N 2°26'15.000""W";56244;CATIMÉNÉ;N.166 - CHEM DE TERRE;56460;SERENT;Pylône autostable;45.0;TOTEM
754503;-2.5522222222222224;48.18277777777778;"48°10'58.000""N 2°33'8.000""W";22183;BRANRO;"CHEM D'EXPLOITATION N°11";22210;PLEMET;Pylône autostable;34.0;TOTEM
755533;-3.4188888888888886;48.40277777777778;"48°24'10.000""N 3°25'8.000""W";22025;REST GUEN;VOIE COMMUNALE N°20;22160;CALLAC;Pylône autostable;31.0;TOTEM
756485;-0.7722222222222223;48.31527777777778;"48°18'55.000""N 0°46'20.000""W";53064;FORÊT DE MAYENNE;PRÈS N12 - CHEM DU PISSOT PISTE AUTO CROSS FORGET;53100;CHATILLON SUR COLMONT;Pylône autostable;37.0;TOTEM
756528;-0.16055555555555553;48.001666666666665;"48°0'6.000""N 0°9'38.000""W";72168;LE RABLEAU;CHEM DE LA COIRE;72540;LOUE;"Château d'eau - réservoir";32.0;"Commune, communauté de commune"
756628;0.09583333333333334;47.825;"47°49'30.000""N 0°5'45.000""E";72051;LES LANDES DE CÉRANS;CHEM DES LANDES;72330;CERANS FOULLETOURTE;Pylône tubulaire;27.0;TOTEM
756847;-3.4169444444444443;47.783055555555556;"47°46'59.000""N 3°25'1.000""W";56185;ZONE ARTISANALE DE BEG RUNIO;R JULES VERNE DISLABO;56530;QUEVEN;Pylône tubulaire;22.1;TOTEM
757095;-3.5455555555555556;48.095555555555556;"48°5'44.000""N 3°32'44.000""W";56201;COAT VOD VRAZ;PYLÔNE FRANCE TELECOM;56110;SAINT;Pylône autostable;30.0;TOTEM
757140;0.14416666666666667;48.14694444444444;"48°8'49.000""N 0°8'39.000""E";72289;TROMPE SOURIS - BUISSONNIÈRE;CHEM RURAL N°1 A.28 LE MANS - ALENÇPN;72380;SAINTE JAMME SUR SARTHE;Pylône autostable;40.0;TOTEM
760262;-2.2088888888888887;47.87972222222222;"47°52'47.000""N 2°12'32.000""W";56136;"";ROUTE DE POCARO - D. 124;56380;MONTENEUF;Pylône autostable;36.0;TOTEM
760866;-0.15055555555555555;48.172777777777775;"48°10'22.000""N 0°9'2.000""W";72334;"LE COURS D'EN HAUT";"LE COURS D'EN HAUT - TERRAIN";72140;SILLE LE GUILLAUME;Pylône autostable;30.0;TOTEM
769448;-3.3633333333333333;48.465;"48°27'54.000""N 3°21'48.000""W";22216;MENEZ KERESPERS;STATION HERTZIENNE;22810;PLOUGONVER;Pylône autostable;55.0;TOTEM
769450;-2.401944444444444;48.390277777777776;"48°23'25.000""N 2°24'7.000""W";22341;"L'HOTEL BEAUJO";"D 44 CHÂTEAU D'EAU";22640;TRAMAIN;"Château d'eau - réservoir";36.0;"Syndicat des eaux, Adduction"
769850;-3.084722222222222;48.334722222222226;"48°20'5.000""N 3°5'5.000""W";22029;LE PETIT PARIS;LE REST;22480;CANIHUEL;Pylône autostable;44.0;Conseil Départemental
769860;-3.4908333333333332;48.36694444444444;"48°22'1.000""N 3°29'27.000""W";22031;COSQUER VIHAN;CHEM RURAL PRÈS D.97;22160;CARNOET;Pylône autostable;32.0;TOTEM
769864;-3.151111111111111;48.17805555555555;"48°10'41.000""N 3°9'4.000""W";22107;"";LE BOURG PARKING COMMUNAL;22570;BON REPOS SUR BLAVET;Pylône autostable;39.0;Conseil Départemental
769866;-2.8602777777777777;48.47694444444444;"48°28'37.000""N 2°51'37.000""W";22287;CROIX HEURTEBISE;LA LANDES DES CROIX;22800;SAINT DONAN;Pylône autostable;37.0;TOTEM
769872;-3.145;48.39138888888889;"48°23'29.000""N 3°8'42.000""W";22092;KERDRAIN;MEZ ROCH;22480;KERPERT;Pylône autostable;39.0;Conseil Départemental
769882;-3.310833333333333;48.38611111111111;"48°23'10.000""N 3°18'39.000""W";22138;PARC AR MENEZ;RÉSERVOIR;22160;MAEL PESTIVIEN;"Château d'eau - réservoir";35.0;Conseil Départemental
769890;-2.0733333333333333;48.29388888888889;"48°17'38.000""N 2°4'24.000""W";22071;CARCOUVAN;"L'ECOBUE DU ROCHER";22350;GUITTE;Pylône autostable;39.0;Conseil Départemental
769894;-3.493611111111111;48.464166666666664;"48°27'51.000""N 3°29'37.000""W";22037;LE GOLLOT;PARC BOSCHER;22160;CHAPELLE NEUVE;Pylône autostable;40.5;Conseil Départemental
769896;-3.5316666666666667;48.41444444444444;"48°24'52.000""N 3°31'54.000""W";22231;"";LAN GOAT IR  LES LANDES D 54;22160;PLOURAC H;Pylône autostable;44.0;Conseil Départemental
769910;-3.305833333333333;48.33027777777778;"48°19'49.000""N 3°18'21.000""W";22087;GARZUEL;"BOIS DE BELLE CHASSE CHEM D'EXPLOITATION";22110;KERGRIST MOELOU;Pylône autostable;40.0;Conseil Départemental
769922;-3.265277777777778;48.37583333333333;"48°22'33.000""N 3°15'55.000""W";22169;KERSOLLEC;COLLET EVEN BRAZ PRÈS D50 - VC;22480;PEUMERIT QUINTIN;Pylône autostable;45.0;Conseil Départemental
769928;-3.3936111111111114;48.399166666666666;"48°23'57.000""N 3°23'37.000""W";22328;MONT ST MICHEL;PRÈS DU CALVAIRE;22160;SAINT SERVAIS;Pylône autostable;40.0;Conseil Départemental
770435;-2.6719444444444447;48.48361111111111;"48°29'1.000""N 2°40'19.000""W";22389;PRÉ DE LA BORNE;R. JOSEPH TURMEL STADE DE SPORTS;22120;YFFINIAC;Pylône tubulaire;26.5;TOTEM
773820;-3.5308333333333333;47.96138888888889;"47°57'41.000""N 3°31'51.000""W";29230;"";R DU STADE STADE MUNICIPAL;29310;QUERRIEN;Pylône tubulaire;33.0;ATC FRANCE
